Species ID,Botanical Name,Common Name,Family,Native Status,Life Cycle,Sun,Soil Moisture,Urban Toughness,reviewed_field_count,gap_count,score_readiness,Primary References,candidate_views,provider_data,supplier_count,supplier_statuses,mowability_score,provider_review_status,poc_caveat
BCNPPD-0001,Achillea millefolium,Common Yarrow,Asteraceae,Native; common in BC,Perennial,Full sun to part sun,Dry to mesic,5,4,5,not_ready,SRC-0001;SRC-0002;SRC-0024,Boulevard;Dry Sun,yes,1,available,3,pending_review,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0055,Acmispon americanus,Spanish-clover,,Pending review,,,,,0,5,not_ready,SRC-0037,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0056,Alaska oniongrass,Melica subulata,,Pending review,,,,,0,5,not_ready,SRC-0038,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0011,Allium cernuum,Nodding Onion,Amaryllidaceae,Native in BC,Perennial geophyte,Full sun,Dry to mesic,4,4,5,not_ready,SRC-0014;SRC-0004,Boulevard;Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0057,American winter cress,Barbarea orthoceras,,Pending review,,,,,0,5,not_ready,SRC-0039,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0021,Anaphalis margaritacea,Pearly Everlasting,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0058,Antennaria howellii,Howell's Pussytoes,,Pending review,,,,,0,5,not_ready,SRC-0040,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0005,Aquilegia formosa,Red Columbine,Ranunculaceae,Native in BC,Perennial,Part shade to sun,Mesic,4,4,5,not_ready,SRC-0008;SRC-0004,Boulevard;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,Ericaceae,Native in BC,Evergreen subshrub,Full sun to part sun,Dry,5,4,5,not_ready,SRC-0020;SRC-0004,Boulevard;Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0059,Awl-fruited sedge,Carex stipata,,Pending review,,,,,0,5,not_ready,SRC-0041,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0060,Barestem desert-parsley,Lomatium nudicaule,,Pending review,,,,,0,5,not_ready,SRC-0042,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0061,Beach pea,Lathyrus japonicus,,Pending review,,,,,0,5,not_ready,SRC-0043,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0062,Beaked sedge,Carex utriculata,,Pending review,,,,,0,5,not_ready,SRC-0044,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0063,Bicoloured lupine,Lupinus bicolor,,Pending review,,,,,0,5,not_ready,SRC-0045,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0064,Blue wildrye,Elymus glaucus,,Pending review,,,,,0,5,not_ready,SRC-0046,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0065,Blue-eyed grass,Sisyrinchium idahoense,,Pending review,,,,,0,5,not_ready,SRC-0047,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0066,Broad-leaved shootingstar,Primula hendersonii,,Pending review,,,,,0,5,not_ready,SRC-0048,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0067,Broad-leaved stonecrop,Sedum spathulifolium,,Pending review,,,,,0,5,not_ready,SRC-0049,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0068,California aster,Symphyotrichum chilense,,Pending review,,,,,0,5,not_ready,SRC-0050,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0069,California brome,Bromus carinatus,,Pending review,,,,,0,5,not_ready,SRC-0051,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0070,California oatgrass,Danthonia californica,,Pending review,,,,,0,5,not_ready,SRC-0052,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0004,Camassia quamash,Common Camas,Asparagaceae,Native in SW BC,Perennial geophyte,Full sun,Winter wet / summer dry to mesic,4,4,5,not_ready,SRC-0006;SRC-0007,Boulevard;Rain Garden;Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0071,Canada goldenrod,Solidago lepida,,Pending review,,,,,0,5,not_ready,SRC-0053,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
