use_case,species_id,botanical_name,common_name,candidate_status,candidate_reason,evidence_caveat,gap_count,score_readiness
boulevard,BCNPPD-0001,Achillea millefolium,Common Yarrow,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0001,Achillea millefolium,Common Yarrow,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0001,Achillea millefolium,Common Yarrow,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0055,Acmispon americanus,Spanish-clover,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0056,Alaska oniongrass,Melica subulata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0011,Allium cernuum,Nodding Onion,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0011,Allium cernuum,Nodding Onion,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0011,Allium cernuum,Nodding Onion,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0057,American winter cress,Barbarea orthoceras,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0021,Anaphalis margaritacea,Pearly Everlasting,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0058,Antennaria howellii,Howell's Pussytoes,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0005,Aquilegia formosa,Red Columbine,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
shade,BCNPPD-0005,Aquilegia formosa,Red Columbine,candidate,Candidate because sun exposure includes shade.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0005,Aquilegia formosa,Red Columbine,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
boulevard,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,candidate,Candidate because urban toughness is at least 4 and sun exposure includes sun.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
dry_sun,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,candidate,Candidate because sun exposure includes sun and soil moisture includes dry.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0017,Arctostaphylos uva-ursi,Kinnikinnick,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0059,Awl-fruited sedge,Carex stipata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0060,Barestem desert-parsley,Lomatium nudicaule,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0061,Beach pea,Lathyrus japonicus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0062,Beaked sedge,Carex utriculata,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0063,Bicoloured lupine,Lupinus bicolor,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0064,Blue wildrye,Elymus glaucus,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0065,Blue-eyed grass,Sisyrinchium idahoense,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0066,Broad-leaved shootingstar,Primula hendersonii,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0067,Broad-leaved stonecrop,Sedum spathulifolium,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
pollinator_support,BCNPPD-0068,California aster,Symphyotrichum chilense,review_queue,Native PoC species should receive pollinator evidence review; this is not a PSI score.,Candidate view uses P6/P7 display fields; field-level use-case evidence remains in the P7 gap report.,5,not_ready
