source_id,source_name,source_tier,citation,url,external_id,review_status,notes
SRC-0001,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Achillea+millefolium,,pending_review,Primary regional plant atlas
SRC-0002,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Candidate source from legacy workbook attribution.,https://satinflower.ca/products/achillea-millefolium,,pending_review,"Use as practitioner source, not sole authority for ecological scoring"
SRC-0003,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Fragaria+virginiana,,pending_review,Primary regional plant atlas
SRC-0004,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Candidate source from legacy workbook attribution.,https://satinflower.ca/,,pending_review,Product/species page to be added when verified
SRC-0005,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Prunella+vulgaris+var.+lanceolata,,pending_review,Primary regional plant atlas
SRC-0006,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Camassia+quamash,,pending_review,Primary regional plant atlas
SRC-0007,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Candidate source from legacy workbook attribution.,https://satinflower.ca/products/camassia-quamash,,pending_review,"Use as practitioner source, not sole authority for ecological scoring"
SRC-0008,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Aquilegia+formosa,,pending_review,Primary regional plant atlas
SRC-0009,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Tellima+grandiflora,,pending_review,Primary regional plant atlas
SRC-0010,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Tiarella+trifoliata,,pending_review,Primary regional plant atlas
SRC-0011,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Viola+adunca,,pending_review,Primary regional plant atlas
SRC-0012,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Viola+glabella,,pending_review,Primary regional plant atlas
SRC-0013,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Dicentra+formosa,,pending_review,Primary regional plant atlas
SRC-0014,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Allium+cernuum,,pending_review,Primary regional plant atlas
SRC-0015,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Eriophyllum+lanatum,,pending_review,Primary regional plant atlas
SRC-0016,E-Flora BC,Tier 2,E-Flora BC. Candidate source from legacy workbook attribution.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Lomatium+nudicaule,,pending_review,Primary regional plant atlas
